at,atgdlast10,atgdlast20,atgdlast5,atwinslast20,atwinslat10,atwinslat5,ht,htgdlast10,htgdlast20,htgdlast5,htwinslast20,htwinslat10,htwinslat5,result,versuslast5
Vallecano,-15.0,-22.0,-6.0,-2.0,-1.5,0.5,Mallorca,5.0,-3.0,4.0,1.0,4.0,1.0,D,2.0
Valencia,-2.0,4.0,1.0,2.0,-1.5,0.0,Sociedad,12.0,11.0,5.0,4.0,2.5,1.0,D,-1.0
Osasuna,-6.0,-9.0,-2.0,4.0,2.0,2.0,Valladolid,0.0,2.0,2.0,4.5,2.5,3.0,A,-0.5
Ath Bilbao,10.0,10.0,9.0,6.0,4.5,2.5,Villarreal,-1.0,-2.0,0.0,1.0,0.5,-0.5,D,1.5
Vallecano,-13.0,-23.0,-3.0,-1.5,0.0,1.0,Valladolid,-2.0,-3.0,0.0,3.5,2.0,2.5,H,-1.0
La Coruna,4.0,14.0,4.0,3.5,1.0,1.0,Ath Bilbao,9.0,9.0,7.0,6.5,4.0,2.0,H,-1.0
Sociedad,11.0,11.0,6.0,4.0,3.0,2.5,Celta,2.0,6.0,-2.0,5.5,4.5,1.5,H,1.0
Villarreal,0.0,-3.0,5.0,0.5,1.0,1.0,Espanol,2.0,7.0,-1.0,8.5,3.5,1.5,D,1.0
Alaves,-10.0,-21.0,-4.0,-3.0,-3.0,-0.5,Osasuna,-4.0,-6.0,-1.0,4.0,1.5,2.0,H,-1.0
Barcelona,7.0,6.0,5.0,5.5,4.0,2.5,Valencia,-1.0,7.0,-2.0,3.5,0.0,-0.5,A,0.0
Valladolid,1.0,-1.0,0.0,4.0,4.0,2.5,Alaves,-11.0,-23.0,-6.0,-4.5,-3.0,-2.0,D,1.0
Espanol,2.0,4.0,-1.0,8.0,3.5,1.5,La Coruna,5.0,15.0,-2.0,3.5,1.0,-1.0,H,0.0
Malaga,-5.0,-2.0,-8.0,1.5,1.0,-1.0,Mallorca,4.0,-1.0,-3.0,3.0,3.5,1.0,H,-0.5
Celta,2.0,8.0,-1.0,6.5,4.5,2.0,Barcelona,4.0,8.0,4.0,5.0,3.0,1.5,H,-1.0
Ath Bilbao,11.0,11.0,4.0,7.5,6.0,3.0,Real Madrid,7.0,21.0,9.0,7.0,2.5,2.0,H,0.0
Barcelona,8.0,12.0,6.0,6.0,5.0,2.0,Ath Bilbao,8.0,10.0,2.0,7.5,4.0,1.5,A,-1.0
Sociedad,14.0,12.0,5.0,2.5,3.5,1.5,Espanol,1.0,3.0,-2.0,6.5,2.0,0.0,D,-2.0
Villarreal,-5.0,-7.0,1.0,0.5,0.0,1.0,Malaga,-7.0,-3.0,-7.0,0.0,0.0,-2.0,D,1.5
Valladolid,2.0,-2.0,0.0,4.5,4.5,2.5,Valencia,2.0,6.0,1.0,3.0,0.5,0.5,D,1.0
Valencia,1.0,5.0,0.0,2.5,0.0,1.0,Osasuna,3.0,-3.0,7.0,3.0,3.0,1.5,A,-1.5
Celta,-1.0,5.0,2.0,6.0,2.5,2.0,Sociedad,12.0,11.0,4.0,3.0,3.0,1.0,D,0.0
Real Madrid,10.0,24.0,8.0,8.0,4.5,2.5,Villarreal,-3.0,-6.0,-4.0,2.0,1.5,0.5,D,-2.0
Ath Bilbao,7.0,9.0,-1.0,7.0,3.5,1.5,La Coruna,4.0,18.0,-1.0,4.5,1.0,0.0,H,0.0
Malaga,-8.0,-4.0,-3.0,-0.5,-0.5,-0.5,Valladolid,3.0,0.0,0.0,5.0,6.0,2.5,H,0.5
Valladolid,3.0,0.0,1.0,5.0,6.0,3.0,Real Madrid,10.0,24.0,7.0,8.0,4.5,3.0,H,1.5
Mallorca,6.0,3.0,2.0,5.5,3.0,2.0,Ath Bilbao,5.0,4.0,-4.0,5.0,2.0,-0.5,H,-2.0
Villarreal,-3.0,-7.0,-3.0,2.5,1.5,2.0,Espanol,1.0,1.0,-4.0,6.0,2.0,-0.5,A,0.5
Malaga,-10.0,-9.0,-2.0,-2.5,-1.5,-1.5,Valencia,3.0,5.0,2.0,1.5,1.0,1.0,H,1.0
Osasuna,4.0,-2.0,5.0,3.5,4.0,2.0,Barcelona,11.0,19.0,6.0,8.0,4.0,1.5,D,-0.5
Real Madrid,13.0,26.0,12.0,8.0,5.5,3.5,Malaga,-11.0,-9.0,-2.0,-2.5,-3.0,-1.5,A,-1.5
Espanol,-3.0,0.0,-2.0,5.5,2.0,0.5,Valladolid,-2.0,-4.0,-2.0,5.0,4.5,2.0,H,-2.5
Celta,-5.0,2.0,-3.0,6.5,2.5,1.0,Villarreal,3.0,-7.0,-2.0,1.5,2.5,1.5,D,-1.0
Sociedad,11.0,19.0,7.0,6.0,3.5,3.0,Ath Bilbao,3.0,6.0,-1.0,5.0,2.5,-0.5,H,1.0
Valladolid,-2.0,-1.0,-2.0,6.0,4.5,2.0,Celta,-5.0,-1.0,-4.0,6.0,2.5,0.5,H,1.0
La Coruna,6.0,21.0,8.0,6.0,2.0,3.0,Osasuna,8.0,-3.0,3.0,3.0,4.5,1.5,H,-2.0
Real Madrid,19.0,29.0,10.0,9.0,5.5,3.5,Valencia,5.0,7.0,8.0,1.0,2.0,1.5,H,-1.0
Malaga,-13.0,-9.0,-5.0,-1.5,-3.5,-2.5,Espanol,-5.0,0.0,-4.0,4.5,0.5,-1.0,A,0.0
Valencia,8.0,5.0,7.0,2.0,3.0,2.5,Barcelona,8.0,13.0,2.0,8.0,3.5,1.5,A,0.5
Celta,-4.0,0.0,-1.0,6.5,3.0,2.5,Malaga,-10.0,-8.0,-3.0,-2.0,-3.5,-1.5,H,1.0
Osasuna,9.0,0.0,3.0,5.0,5.0,2.5,Mallorca,-5.0,0.0,-5.0,4.5,0.5,-1.5,D,0.0
Espanol,-6.0,0.0,-4.0,5.5,0.0,0.0,Real Madrid,17.0,25.0,6.0,7.0,4.0,1.5,H,1.5
La Coruna,8.0,17.0,9.0,5.0,2.0,2.0,Barcelona,8.0,12.0,0.0,7.5,3.5,1.5,A,-1.0
Real Madrid,14.0,22.0,6.0,8.0,4.0,1.5,Celta,0.0,-1.0,-2.0,5.0,3.0,1.0,A,1.0
Villarreal,-1.0,-2.0,3.0,2.5,2.0,1.5,Ath Bilbao,2.0,8.0,3.0,6.0,3.5,2.0,H,0.0
Espanol,-7.0,-3.0,-5.0,3.5,-1.5,-1.5,Valencia,8.0,6.0,8.0,1.5,3.0,2.0,H,1.5
Valencia,13.0,11.0,11.0,2.5,4.0,3.0,La Coruna,13.0,18.0,9.0,4.0,3.0,1.0,H,0.0
Celta,-5.0,-2.0,-4.0,6.0,2.0,0.5,Espanol,-13.0,-7.0,-9.0,2.0,-3.5,-3.0,A,-0.5
Barcelona,4.0,10.0,-2.0,7.0,3.5,1.0,Mallorca,-5.0,0.0,-7.0,4.0,0.0,-2.0,A,-0.5
