at,atgdlast10,atgdlast20,atgdlast5,atwinslast20,atwinslat10,atwinslat5,ht,htgdlast10,htgdlast20,htgdlast5,htwinslast20,htwinslat10,htwinslat5,result,versuslast5
Valladolid,-3.0,2.0,-3.0,3.0,1.5,0.0,Espanol,5.0,0.0,5.0,6.0,4.0,1.5,D,1.5
Ath Madrid,3.0,17.0,1.0,5.5,2.5,0.0,Malaga,0.0,9.0,0.0,4.0,1.0,0.5,D,-1.5
Betis,1.0,-2.0,-2.0,1.5,0.0,-1.5,Sociedad,7.0,13.0,6.0,6.5,4.0,2.0,D,0.0
Celta,-4.0,-8.0,-3.0,-3.5,-1.0,-0.5,Sevilla,-2.0,-7.0,2.0,-0.5,0.5,1.0,H,0.0
Osasuna,-2.0,-3.0,3.0,3.0,2.0,2.5,Betis,0.0,2.0,1.0,3.0,0.5,0.0,H,0.5
La Coruna,-11.0,-23.0,-8.0,-2.5,-2.0,-1.5,Barcelona,17.0,41.0,6.0,7.0,2.5,1.5,H,1.5
Sevilla,3.0,-3.0,2.0,0.5,1.5,1.0,Mallorca,-9.0,-26.0,-6.0,-6.0,-3.0,-1.5,H,-1.0
Malaga,-2.0,5.0,-1.0,3.5,1.5,1.0,Valladolid,-3.0,-3.0,-2.0,2.5,1.5,1.5,D,-1.5
Espanol,5.0,1.0,5.0,6.5,4.0,1.5,Vallecano,4.0,-3.0,-3.0,1.5,1.5,-0.5,H,-3.0
Valencia,4.0,-1.0,3.0,5.0,4.5,2.5,Ath Bilbao,-8.0,-13.0,-6.0,0.5,0.0,-0.5,H,-2.0
Sociedad,7.0,11.0,6.0,6.0,4.0,2.0,Ath Madrid,6.0,16.0,4.0,6.0,4.0,1.5,A,1.5
Real Madrid,15.0,33.0,6.0,7.5,3.5,2.0,Celta,-6.0,-10.0,-6.0,-3.5,-2.0,-2.0,A,-1.0
Getafe,-5.0,-4.0,3.0,2.0,0.0,2.0,Levante,-8.0,-2.0,-4.0,3.0,-1.0,0.0,D,0.0
Celta,-6.0,-13.0,-6.0,-4.5,-1.0,-1.0,La Coruna,-11.0,-24.0,-8.0,-2.5,-2.0,-1.5,H,-1.0
Ath Bilbao,-5.0,-13.0,-5.0,0.5,1.0,0.0,Getafe,-3.0,-5.0,1.0,2.5,1.5,1.5,H,0.0
Mallorca,-9.0,-24.0,-2.0,-5.0,-2.0,0.5,Real Madrid,17.0,34.0,8.0,7.0,4.5,3.0,H,2.0
Valladolid,-1.0,-3.0,-2.0,2.5,2.0,1.5,Sociedad,7.0,14.0,4.0,7.0,3.0,1.0,H,0.0
Betis,2.0,1.0,3.0,3.0,1.5,2.0,Valencia,1.0,-1.0,2.0,5.0,2.5,1.0,H,0.0
Vallecano,3.0,-2.0,0.0,1.5,1.5,1.5,Barcelona,17.0,43.0,8.0,7.5,3.5,2.0,H,1.0
Espanol,1.0,-1.0,2.0,5.0,2.0,-0.5,Malaga,-3.0,6.0,-1.0,5.0,1.0,1.0,A,1.0
Ath Madrid,4.0,14.0,2.0,5.0,3.0,0.5,Osasuna,-2.0,-3.0,1.0,3.0,1.0,0.5,A,-2.0
Zaragoza,-9.0,-9.0,-4.0,-1.5,-2.0,-1.0,Sevilla,3.0,-2.0,0.0,0.5,1.5,-1.0,H,1.0
Barcelona,15.0,44.0,5.0,8.5,3.5,2.0,Celta,-10.0,-13.0,-7.0,-4.5,-3.0,-2.0,D,-3.0
Sevilla,6.0,1.0,7.0,0.5,1.5,1.0,Levante,-7.0,-4.0,-2.0,3.0,0.0,2.0,H,0.0
Malaga,-4.0,3.0,-4.0,4.0,2.0,1.0,Vallecano,-1.0,-3.0,-3.0,1.5,-0.5,-0.5,A,0.0
Real Madrid,19.0,35.0,8.0,7.0,4.5,3.0,Zaragoza,-12.0,-14.0,-7.0,-2.5,-3.0,-2.0,D,-2.0
Valencia,3.0,1.0,4.0,5.0,3.5,2.0,Ath Madrid,6.0,15.0,5.0,5.0,2.5,1.5,D,-1.5
Sociedad,11.0,18.0,6.0,8.0,5.0,2.0,Espanol,7.0,0.0,0.0,4.0,3.0,-0.5,D,0.5
La Coruna,-10.0,-21.0,-3.0,-1.5,-2.0,-0.5,Mallorca,-12.0,-26.0,-5.0,-5.0,-3.5,-1.0,A,-1.5
Osasuna,-3.0,-5.0,-1.0,2.5,2.0,0.0,Valladolid,-2.0,-5.0,-5.0,2.5,2.0,0.0,A,0.5
Getafe,0.0,-3.0,7.0,3.5,3.5,3.5,Betis,-2.0,-2.0,0.0,1.5,0.5,0.5,D,0.0
Mallorca,-11.0,-22.0,-4.0,-5.0,-2.5,0.0,Barcelona,13.0,39.0,4.0,9.0,4.0,2.5,H,1.5
Zaragoza,-10.0,-15.0,-6.0,-3.0,-1.5,-0.5,La Coruna,-9.0,-20.0,0.0,-2.0,-2.5,0.5,H,-1.5
Levante,-4.0,-5.0,-1.0,3.0,2.0,2.5,Real Madrid,19.0,30.0,6.0,7.5,4.5,2.5,H,1.0
Malaga,0.0,5.0,-3.0,3.5,2.0,0.0,Sociedad,11.0,18.0,6.0,8.0,5.0,2.0,H,1.0
Vallecano,-4.0,0.0,-3.0,1.5,-0.5,0.5,Celta,-9.0,-13.0,-5.0,-4.5,-1.5,-0.5,A,-2.5
Ath Madrid,4.0,13.0,2.0,4.5,2.0,2.0,Getafe,0.0,-4.0,5.0,4.0,3.5,3.0,D,-1.5
Espanol,6.0,0.0,-1.0,4.0,2.5,-1.0,Osasuna,-1.0,-1.0,0.0,3.5,1.5,-1.0,A,1.0
Valladolid,-6.0,-7.0,-4.0,2.0,1.0,0.0,Valencia,1.0,2.0,2.0,6.5,3.0,1.5,H,1.0
Ath Bilbao,-2.0,-11.0,0.0,1.5,2.0,1.0,Sevilla,7.0,1.0,4.0,0.5,1.5,-1.0,H,-2.0
Sevilla,8.0,2.0,6.0,1.0,2.0,1.0,Betis,0.0,-1.0,2.0,1.0,-0.5,1.0,D,0.0
Valencia,7.0,1.0,3.0,6.5,4.0,2.0,Espanol,7.0,1.0,2.0,4.0,1.5,0.0,D,-1.5
La Coruna,-7.0,-20.0,2.0,-2.0,-0.5,1.5,Levante,-6.0,-9.0,-3.0,1.5,2.0,1.5,A,-1.0
Osasuna,-4.0,-2.0,-4.0,3.5,0.5,-1.0,Malaga,-2.0,4.0,-2.0,2.5,0.5,0.0,H,-0.5
Getafe,0.0,-2.0,3.0,4.5,3.5,3.5,Valladolid,-9.0,-9.0,-6.0,1.0,-1.0,-1.0,H,-1.5
Real Madrid,18.0,30.0,9.0,7.5,5.5,3.5,Ath Bilbao,-3.0,-13.0,1.0,0.5,0.5,0.0,A,-3.0
Sociedad,12.0,21.0,6.0,9.0,5.0,3.0,Vallecano,0.0,1.0,0.0,1.5,0.5,0.5,A,-1.5
Barcelona,19.0,42.0,8.0,9.0,6.0,2.5,Zaragoza,-9.0,-12.0,-7.0,-3.0,-1.5,-2.0,A,-3.0
Celta,-11.0,-13.0,-8.0,-3.5,-2.0,-1.5,Mallorca,-15.0,-26.0,-7.0,-5.0,-2.5,-1.0,H,0.5
Vallecano,-5.0,-2.0,-2.0,0.5,-0.5,0.0,Mallorca,-13.0,-23.0,-7.0,-4.0,-1.5,0.0,D,0.5
Levante,-11.0,-12.0,-7.0,1.5,1.0,1.0,Barcelona,18.0,43.0,12.0,9.0,5.0,3.5,H,2.0
Betis,3.0,0.0,2.0,1.5,1.0,1.0,Real Madrid,17.0,32.0,11.0,7.5,4.5,2.5,H,1.0
Malaga,-2.0,6.0,-1.0,3.5,1.5,0.5,Valencia,6.0,1.0,3.0,6.5,4.5,2.0,H,0.0
Espanol,7.0,4.0,2.0,4.5,1.5,0.0,Getafe,3.0,-1.0,0.0,4.5,3.5,1.5,A,-1.5
Ath Bilbao,-9.0,-17.0,-3.0,-0.5,-0.5,0.0,La Coruna,-2.0,-14.0,6.0,-1.0,-0.5,1.0,D,1.0
Sociedad,14.0,22.0,8.0,9.0,4.5,2.5,Osasuna,-1.0,-6.0,-4.0,2.5,0.5,-2.0,D,1.0
Ath Madrid,10.0,18.0,6.0,6.0,3.5,2.0,Sevilla,5.0,3.0,3.0,2.5,1.5,0.5,A,0.5
Zaragoza,-12.0,-17.0,-8.0,-4.0,-2.0,-1.0,Celta,-12.0,-13.0,-6.0,-3.5,-3.5,-1.5,H,-0.5
Osasuna,-2.0,-6.0,-3.0,2.5,0.0,-0.5,Vallecano,-4.0,2.0,-4.0,2.0,1.0,-0.5,D,0.5
Barcelona,19.0,42.0,11.0,9.0,5.5,3.5,Ath Bilbao,-9.0,-13.0,-4.0,1.0,-0.5,-0.5,D,-2.5
Real Madrid,20.0,30.0,12.0,7.5,6.5,3.5,Ath Madrid,10.0,18.0,8.0,6.0,2.5,2.0,A,-3.0
Mallorca,-10.0,-23.0,-8.0,-4.0,0.0,-0.5,Zaragoza,-13.0,-16.0,-9.0,-4.0,-3.5,-2.5,H,-1.0
Getafe,-1.0,-4.0,-2.0,3.5,2.5,1.0,Malaga,-6.0,2.0,-5.0,2.0,0.0,-1.0,H,0.5
Valencia,10.0,4.0,8.0,6.5,5.0,4.0,Sociedad,11.0,18.0,7.0,8.5,4.0,3.0,H,0.0
Sevilla,3.0,-2.0,3.0,1.5,0.5,1.5,Valladolid,-7.0,-7.0,-5.0,3.0,1.0,-0.5,D,1.0
La Coruna,0.0,-12.0,8.0,-0.5,1.0,2.5,Betis,2.0,2.0,-1.0,1.5,1.0,-1.0,D,-1.0
Ath Bilbao,-5.0,-13.0,-3.0,1.0,0.0,1.0,Celta,-8.0,-12.0,-1.0,-3.0,-1.5,0.5,D,-0.5
Ath Madrid,10.0,13.0,5.0,5.0,3.5,2.0,La Coruna,3.0,-12.0,6.0,-0.5,1.5,2.0,D,-2.0
Valladolid,-7.0,-8.0,-2.0,2.5,1.0,1.0,Real Madrid,18.0,32.0,10.0,8.5,5.5,2.5,H,1.0
Osasuna,-2.0,-6.0,-1.0,2.5,0.0,0.0,Valencia,7.0,6.0,3.0,6.5,4.0,2.0,H,0.5
Betis,2.0,1.0,2.0,1.0,1.0,0.5,Barcelona,14.0,38.0,9.0,9.5,5.0,3.0,H,2.0
Levante,-11.0,-12.0,-9.0,0.5,1.0,-1.0,Mallorca,-11.0,-22.0,-6.0,-4.0,-1.5,-0.5,D,1.0
Espanol,3.0,8.0,3.0,5.5,0.5,1.0,Sevilla,6.0,2.0,-1.0,3.0,2.0,1.0,H,0.5
Vallecano,-5.0,0.0,-2.0,1.5,0.5,1.0,Zaragoza,-11.0,-14.0,-4.0,-3.0,-2.5,-0.5,H,1.0
Sociedad,12.0,20.0,6.0,9.0,5.0,3.0,Getafe,3.0,-7.0,-4.0,2.5,2.5,-1.0,H,1.0
Ath Madrid,7.0,15.0,5.0,6.5,4.0,2.0,Celta,-6.0,-12.0,-1.0,-3.0,0.0,0.5,A,0.0
Malaga,-8.0,-1.0,-5.0,2.0,-1.0,-1.0,Real Madrid,17.0,31.0,11.0,8.5,5.5,3.0,H,0.5
Zaragoza,-7.0,-11.0,-1.0,-2.5,-0.5,0.0,Levante,-11.0,-12.0,-10.0,0.5,1.0,-1.5,D,-1.5
Mallorca,-9.0,-22.0,-5.0,-4.0,0.0,0.0,Ath Bilbao,-4.0,-9.0,-4.0,2.5,1.5,0.5,H,1.0
Real Madrid,20.0,34.0,11.0,9.5,6.5,3.0,Espanol,-1.0,5.0,0.0,4.0,-1.5,-0.5,D,-2.0
Getafe,2.0,-7.0,-3.0,2.5,2.5,-0.5,Osasuna,-7.0,-11.0,-7.0,0.5,-2.0,-1.0,H,0.0
La Coruna,5.0,-11.0,5.0,0.0,3.0,2.5,Valladolid,-5.0,-10.0,-1.0,1.5,0.0,0.0,H,1.0
Barcelona,15.0,36.0,11.0,9.5,6.0,3.5,Ath Madrid,8.0,11.0,7.0,5.5,3.0,1.5,A,-3.0
Celta,-9.0,-13.0,-1.0,-2.0,-1.0,0.5,Betis,1.0,-2.0,0.0,0.0,1.0,-1.0,H,-1.0
Sevilla,7.0,6.0,3.0,4.0,2.0,3.0,Malaga,-9.0,-9.0,-7.0,0.0,-1.0,-1.0,D,0.0
Valencia,9.0,13.0,7.0,7.5,4.0,2.5,Vallecano,-6.0,-2.0,-3.0,1.5,0.5,0.0,A,-2.0
Valencia,13.0,16.0,10.0,7.5,3.5,1.5,Getafe,-1.0,-8.0,-4.0,1.0,1.5,-2.0,A,-2.0
Sociedad,9.0,16.0,3.0,8.0,4.0,1.0,Sevilla,8.0,6.0,2.0,4.0,3.5,2.5,A,0.0
Valladolid,-5.0,-8.0,1.0,2.5,1.0,2.0,Barcelona,15.0,36.0,7.0,9.5,5.0,2.5,H,2.0
Espanol,0.0,5.0,-2.0,4.0,0.0,0.0,La Coruna,5.0,-6.0,3.0,0.0,2.0,0.5,H,-2.0
Ath Bilbao,-1.0,-9.0,-2.0,2.5,2.5,2.5,Zaragoza,-7.0,-13.0,0.0,-2.0,-0.5,1.5,A,0.0
Betis,-1.0,0.0,-3.0,1.0,1.0,0.0,Mallorca,-8.0,-19.0,-1.0,-4.0,-1.0,0.0,H,-0.5
Levante,-10.0,-18.0,-3.0,0.0,1.0,0.0,Ath Bilbao,-1.0,-9.0,2.0,2.5,2.5,2.5,A,0.0
Mallorca,-8.0,-17.0,-1.0,-3.0,0.0,0.0,Ath Madrid,7.0,13.0,1.0,6.5,2.5,0.5,D,0.5
Zaragoza,-6.0,-13.0,2.0,-2.0,0.5,1.5,Betis,-2.0,-2.0,-4.0,0.0,-0.5,-1.5,H,2.0
Barcelona,17.0,34.0,5.0,9.5,7.0,3.5,Espanol,-2.0,3.0,-4.0,2.5,-1.5,-1.5,A,-2.5
La Coruna,7.0,-4.0,1.0,0.5,2.5,1.5,Malaga,-9.0,-11.0,-8.0,0.5,-1.0,-1.5,H,-2.0
Sevilla,4.0,7.0,1.0,4.0,2.5,2.0,Osasuna,-10.0,-12.0,-6.0,0.0,-2.0,0.0,H,-1.5
Real Madrid,19.0,34.0,8.0,9.5,6.0,3.5,Sociedad,10.0,17.0,2.0,7.5,3.5,1.0,D,-3.0
Celta,-7.0,-13.0,-1.0,-3.0,-1.0,0.5,Valladolid,-6.0,-9.0,-1.0,1.0,-0.5,0.0,A,-2.0
Malaga,-7.0,-10.0,-2.0,0.5,-0.5,0.5,Barcelona,17.0,34.0,6.0,9.5,6.0,2.5,H,2.0
Espanol,-2.0,-1.0,-8.0,1.5,-0.5,-1.5,Celta,-4.0,-10.0,0.0,-2.0,-1.0,-0.5,H,-2.0
Sociedad,9.0,16.0,2.0,7.0,4.0,1.0,La Coruna,7.0,-4.0,-1.0,0.5,2.5,0.0,A,1.0
Betis,1.0,3.0,2.0,1.0,-0.5,0.5,Levante,-9.0,-14.0,-1.0,1.0,0.5,1.0,D,1.0
Valladolid,-8.0,-9.0,-3.0,1.0,-1.0,-0.5,Mallorca,-9.0,-18.0,-1.0,-2.5,-0.5,0.0,H,0.0
Osasuna,-8.0,-10.0,-5.0,1.0,0.0,0.5,Real Madrid,18.0,35.0,6.0,11.0,6.5,3.0,H,1.0
Valencia,16.0,17.0,8.0,7.5,5.0,1.0,Sevilla,4.0,7.0,1.0,4.0,2.5,1.0,H,1.0
Ath Bilbao,-3.0,-8.0,1.0,2.5,1.5,2.0,Vallecano,-9.0,-6.0,-5.0,0.5,-1.0,-0.5,D,-0.5
Ath Madrid,8.0,12.0,0.0,6.0,3.0,1.0,Zaragoza,-10.0,-19.0,-1.0,-3.0,-1.0,1.5,A,-2.0
Getafe,-8.0,-8.0,-4.0,1.5,-2.0,-1.0,Sociedad,7.0,18.0,1.0,8.0,3.0,0.0,H,-0.5
Malaga,-8.0,-12.0,-6.0,0.5,-1.5,-1.5,Valencia,12.0,15.0,9.0,6.5,3.0,1.0,H,1.0
Ath Bilbao,-2.0,-6.0,1.0,4.0,3.0,2.0,Valladolid,-7.0,-9.0,-5.0,1.0,-1.0,-2.0,A,0.0
Levante,-9.0,-16.0,0.0,0.5,0.5,1.5,Barcelona,18.0,33.0,9.0,9.5,6.0,3.0,H,2.0
Betis,4.0,2.0,2.0,1.5,1.0,0.5,Real Madrid,17.0,36.0,7.0,11.0,6.5,4.0,H,2.0
Ath Madrid,8.0,14.0,3.0,5.5,3.0,1.0,Sevilla,1.0,7.0,2.0,4.0,2.5,1.5,A,-0.5
Villarreal,0.0,-1.0,-1.0,1.5,1.0,0.0,Almeria,-17.0,-19.0,-8.0,-2.5,-3.5,-0.5,A,1.5
Espanol,-5.0,2.0,-8.0,1.5,-1.5,-2.5,Celta,-1.0,-11.0,0.0,-2.0,1.0,0.5,D,-2.0
Osasuna,-11.0,-12.0,-4.0,0.5,-1.0,0.0,Ath Bilbao,-2.0,-4.0,2.0,4.0,2.0,1.5,H,1.0
Almeria,-17.0,-20.0,-8.0,-3.0,-2.5,-0.5,Getafe,-10.0,-10.0,-7.0,0.0,-3.5,-3.0,D,-0.5
Valencia,13.0,14.0,6.0,6.5,3.5,1.0,Espanol,-5.0,1.0,-5.0,1.0,-1.5,-1.0,H,0.0
Valladolid,-6.0,-12.0,-5.0,0.0,-1.0,-1.0,Villarreal,-1.0,-3.0,0.0,0.5,1.0,-0.5,H,2.0
Vallecano,-2.0,-6.0,1.0,1.0,1.5,1.5,Ath Madrid,10.0,14.0,5.0,4.5,2.5,0.5,H,1.0
Celta,-1.0,-10.0,0.0,-0.5,1.0,0.5,Betis,3.0,-1.0,3.0,-0.5,-0.5,0.5,A,1.0
Sevilla,0.0,7.0,-3.0,5.0,3.5,0.5,Levante,-17.0,-21.0,-7.0,0.5,-1.5,0.0,D,1.0
Barcelona,25.0,38.0,14.0,10.5,6.5,3.0,Malaga,-11.0,-11.0,-6.0,-0.5,-2.5,-1.5,A,-2.0
Villarreal,0.0,-2.0,1.0,1.0,1.5,0.0,Osasuna,-11.0,-15.0,-7.0,-1.5,-2.0,-2.0,A,1.0
Getafe,-10.0,-10.0,-6.0,0.0,-3.5,-1.5,Valladolid,-6.0,-15.0,-7.0,-2.0,-1.0,-3.0,H,0.5
Betis,-2.0,-2.0,1.0,-1.0,-0.5,-0.5,Espanol,-5.0,2.0,-3.0,1.0,-0.5,-0.5,D,2.0
Ath Bilbao,1.0,-2.0,3.0,4.5,4.0,1.5,Real Madrid,15.0,33.0,4.0,11.5,6.0,3.0,H,2.0
Malaga,-10.0,-12.0,-3.0,-1.0,-1.5,-0.5,Sevilla,-1.0,7.0,-3.0,5.0,3.0,0.5,D,0.5
Ath Madrid,15.0,17.0,8.0,4.5,3.0,1.5,Sociedad,7.0,19.0,4.0,8.0,3.0,2.0,A,-1.0
Barcelona,21.0,40.0,14.0,11.5,5.5,3.0,Valencia,10.0,17.0,0.0,5.5,1.5,0.0,A,-1.0
Almeria,-13.0,-19.0,-6.0,-2.0,-0.5,1.0,Ath Madrid,11.0,21.0,10.0,5.5,2.0,1.5,H,1.0
Sevilla,-1.0,4.0,-2.0,4.5,3.0,1.0,Barcelona,19.0,37.0,14.0,10.5,5.5,2.0,H,1.5
Sociedad,4.0,18.0,2.0,7.5,3.0,2.0,Levante,-8.0,-19.0,-5.0,1.0,0.0,0.0,D,2.0
Real Madrid,14.0,31.0,6.0,11.5,7.0,3.5,Villarreal,5.0,0.0,3.0,1.0,2.5,0.0,D,-2.5
Valencia,9.0,15.0,-2.0,5.5,1.0,0.0,Betis,-2.0,1.0,2.0,0.5,-0.5,1.0,H,0.0
Osasuna,-13.0,-14.0,-7.0,-0.5,-1.0,-1.0,Getafe,-10.0,-7.0,-6.0,0.0,-3.5,-2.5,H,1.0
Vallecano,-8.0,-13.0,-2.0,0.0,0.5,0.5,Malaga,-11.0,-13.0,-3.0,-0.5,-2.0,-0.5,H,-1.0
Celta,3.0,-9.0,4.0,-1.0,2.5,2.0,Ath Bilbao,2.0,-7.0,0.0,2.5,3.0,0.5,H,1.0
Malaga,-2.0,-8.0,0.0,0.0,0.0,-0.5,Sociedad,4.0,15.0,2.0,7.0,3.0,2.0,D,2.0
Ath Madrid,12.0,22.0,12.0,5.5,3.0,2.0,Valladolid,-6.0,-13.0,-3.0,0.0,-1.0,-0.5,A,-2.0
Barcelona,19.0,38.0,13.0,11.0,5.5,3.0,Vallecano,-13.0,-17.0,-8.0,0.0,-1.0,-0.5,A,-3.0
Villarreal,4.0,-2.0,4.0,0.5,2.0,1.5,Celta,1.0,-9.0,1.0,-1.0,0.5,1.0,D,1.5
Getafe,-7.0,-8.0,-4.0,0.0,-2.5,-1.5,Real Madrid,12.0,32.0,6.0,13.0,6.5,3.5,H,2.0
Sevilla,-1.0,2.0,-2.0,2.5,2.0,1.0,Valencia,3.0,13.0,-5.0,4.0,-1.0,-2.0,H,-1.0
Ath Bilbao,3.0,-6.0,2.0,3.0,3.5,1.5,Espanol,-6.0,2.0,2.0,0.0,-0.5,1.0,H,2.5
Osasuna,-13.0,-15.0,-6.0,-2.0,-2.0,-1.0,Ath Madrid,15.0,25.0,12.0,6.5,3.0,2.0,H,1.5
Sociedad,2.0,14.0,1.0,7.5,2.5,2.5,Barcelona,23.0,37.0,14.0,10.0,5.0,2.0,H,0.0
Almeria,-11.0,-21.0,-3.0,-2.5,0.0,0.5,Malaga,-3.0,-9.0,3.0,0.5,-0.5,1.0,H,1.0
Vallecano,-17.0,-22.0,-12.0,-1.0,-1.5,-1.0,Sevilla,-3.0,3.0,-5.0,2.5,0.5,-1.0,H,1.5
Betis,2.0,4.0,0.0,2.5,1.5,1.0,Ath Bilbao,2.0,-3.0,1.0,2.0,2.0,0.0,H,0.0
Celta,0.0,-8.0,0.0,-0.5,1.0,0.5,Getafe,-9.0,-6.0,-5.0,0.0,-2.5,-1.5,H,-1.0
Espanol,-4.0,-1.0,4.0,1.0,0.5,3.0,Villarreal,4.0,2.0,5.0,2.0,2.0,2.0,H,1.5
Malaga,0.0,-8.0,6.0,0.5,1.5,3.0,Valladolid,-7.0,-12.0,-2.0,0.0,0.0,1.0,D,0.0
Barcelona,24.0,39.0,10.0,11.0,5.0,2.0,Almeria,-12.0,-23.0,-4.0,-4.0,-1.0,-0.5,A,-1.5
Ath Madrid,16.0,23.0,11.0,7.5,3.5,3.0,Real Madrid,14.0,31.0,7.0,12.0,6.5,2.5,A,2.0
Sevilla,-3.0,4.0,0.0,2.5,0.5,0.0,Sociedad,0.0,11.0,-4.0,6.0,2.5,0.5,D,0.0
Vallecano,-17.0,-23.0,-18.0,-1.0,-1.5,-3.0,Valencia,4.0,13.0,-2.0,4.0,0.0,-1.0,H,1.0
Villarreal,5.0,3.0,5.0,2.5,2.5,3.0,Betis,3.0,4.0,0.0,2.5,1.5,1.0,H,-0.5
Getafe,-8.0,-6.0,-1.0,0.0,-2.5,0.5,Espanol,-2.0,-3.0,3.0,-1.0,0.5,1.5,A,1.0
Levante,-6.0,-17.0,1.0,3.0,2.0,2.0,Osasuna,-10.0,-17.0,-6.0,-4.0,-2.0,-2.0,A,1.0
Osasuna,-12.0,-20.0,-5.0,-4.0,-3.0,-1.0,Malaga,4.0,-5.0,7.0,2.0,3.0,3.5,A,1.5
Valladolid,-8.0,-13.0,-1.0,0.5,-0.5,2.5,Barcelona,25.0,40.0,11.0,10.0,5.0,2.0,H,2.0
Real Madrid,9.0,29.0,5.0,12.0,5.5,2.5,Levante,-5.0,-14.0,2.0,3.0,1.5,1.5,A,-2.0
Sociedad,0.0,9.0,-4.0,6.5,2.5,0.5,Vallecano,-14.0,-23.0,-14.0,-2.0,-2.5,-3.0,H,-2.0
Valencia,1.0,14.0,1.0,4.5,1.0,1.0,Ath Bilbao,0.0,-1.0,-3.0,3.0,0.5,-1.0,D,0.0
Celta,-1.0,-10.0,-4.0,-1.5,-0.5,-1.0,Ath Madrid,15.0,23.0,7.0,6.5,3.5,2.0,H,1.0
Betis,3.0,2.0,2.0,2.5,1.5,2.0,Getafe,-5.0,-6.0,1.0,0.0,-1.5,0.0,H,1.0
Almeria,-12.0,-23.0,-6.0,-3.0,0.0,-1.0,Sevilla,-3.0,5.0,0.0,4.0,0.5,0.0,H,2.0
Ath Madrid,17.0,24.0,7.0,7.0,4.5,3.0,Espanol,-3.0,-5.0,-2.0,-1.5,0.0,-1.0,H,-0.5
Barcelona,27.0,44.0,13.0,12.0,5.0,3.0,Osasuna,-8.0,-18.0,-1.0,-4.0,-2.0,-1.0,D,-2.0
Malaga,3.0,-6.0,6.0,1.5,2.5,3.0,Real Madrid,10.0,29.0,4.0,11.0,5.0,1.5,H,1.5
Sociedad,-2.0,8.0,-4.0,5.0,1.5,-0.5,Valencia,0.0,14.0,2.0,4.5,1.5,1.5,A,-1.0
Sevilla,-1.0,3.0,1.0,4.0,1.5,0.5,Valladolid,-10.0,-16.0,-5.0,-1.0,-0.5,0.5,D,0.5
Villarreal,6.0,7.0,3.0,3.5,2.0,2.0,Ath Bilbao,-1.0,-2.0,-1.0,3.5,1.0,0.5,H,-1.5
Valladolid,-8.0,-16.0,-5.0,-1.0,0.0,0.5,Vallecano,-14.0,-23.0,-6.0,-2.5,-1.5,-1.0,A,-1.0
Real Madrid,12.0,30.0,6.0,12.0,5.5,2.0,Barcelona,25.0,42.0,12.0,11.5,5.5,2.5,H,-0.5
Espanol,0.0,-2.0,-2.0,0.5,1.0,0.0,Levante,-5.0,-14.0,1.0,2.0,1.5,1.0,H,2.0
Celta,-4.0,-8.0,-5.0,-1.5,-0.5,-1.5,Malaga,-1.0,-8.0,-1.0,0.0,0.5,1.0,A,-0.5
Betis,-3.0,-2.0,-3.0,0.0,0.5,-0.5,Ath Madrid,16.0,24.0,4.0,6.0,3.0,1.0,H,1.0
Osasuna,-9.0,-17.0,0.0,-2.5,-2.5,0.5,Sevilla,0.0,4.0,2.0,5.5,3.0,2.0,H,0.0
Valencia,-2.0,14.0,3.0,5.5,0.5,2.5,Villarreal,5.0,6.0,1.0,3.5,2.0,0.5,H,0.0
Ath Bilbao,2.0,-1.0,0.0,3.5,2.0,0.5,Getafe,1.0,-4.0,5.0,-0.5,-0.5,1.0,A,2.0
Barcelona,23.0,41.0,9.0,11.5,5.5,3.5,Celta,0.0,-1.0,0.0,-0.5,-1.5,-2.0,A,-1.5
Malaga,-3.0,-11.0,-6.0,0.0,1.5,0.5,Espanol,-2.0,-7.0,-6.0,-0.5,1.0,-2.0,D,-1.5
Vallecano,-17.0,-24.0,-5.0,-1.5,-2.0,-1.0,Osasuna,-8.0,-16.0,-2.0,-3.5,-2.5,-1.5,H,0.5
Sevilla,0.0,1.0,5.0,5.5,3.0,4.0,Real Madrid,9.0,26.0,2.0,10.0,3.5,0.0,H,1.0
Almeria,-12.0,-29.0,-9.0,-6.0,-2.5,-3.0,Valencia,-4.0,8.0,-2.0,3.5,0.5,0.5,A,3.0
Sociedad,1.0,8.0,0.0,5.0,2.0,-0.5,Valladolid,-3.0,-10.0,0.0,0.0,1.0,0.5,D,1.0
Levante,-2.0,-11.0,4.0,2.5,2.0,1.5,Betis,-8.0,-4.0,-8.0,0.0,-1.0,-2.0,D,0.0
Getafe,2.0,-6.0,7.0,-1.5,0.5,2.0,Villarreal,9.0,9.0,4.0,4.0,3.0,1.0,A,-1.0
Espanol,-2.0,-7.0,-5.0,-0.5,1.0,-0.5,Barcelona,19.0,44.0,9.0,11.0,4.5,2.5,H,3.0
Valladolid,-2.0,-8.0,0.0,0.5,1.5,0.5,Almeria,-10.0,-27.0,-6.0,-5.0,-2.5,-2.0,H,-0.5
Celta,-3.0,-4.0,-1.0,-1.0,-2.0,-1.0,Sevilla,-2.0,-2.0,-2.0,5.5,2.0,2.0,A,2.0
Osasuna,-5.0,-16.0,1.0,-2.5,-1.5,0.5,Sociedad,-1.0,8.0,3.0,5.0,1.5,1.0,H,1.0
