name,goals_per90,assists_per90,goals_assists_pens_per90,goals_pens_per90,goals,shots_total_per90,shots_on_target_per90,shots_free_kicks,pens_made,passes_completed,passes,passes_completed_short,passes_completed_medium,passes_completed_long,sca,sca_per90,gca_per90,tackles,tackles_won,dribbles_vs,pressures,pressure_regains,blocks,blocked_shots,dribbles_completed,carry_distance,fouls,aerials_won,ball_recoveries
Antonio Sivera,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]",,,,,,"['47', None, '43']","['102', None, '83']","['0', None, '0']","['10', None, '16']","['37', None, '27']","['1', None, '0']","['0.33', None, '0.00']","['0.00', None, '0.00']","['0', None, '0']","0,0,0","['0', None, '0']","['0', None, '0']","['0', None, '0']","['0', None, '0']","['0', None, '0']","['0', None, '0']","['325', None, '261']","0,0,1","['0', None, '0']","['23', None, '16']"
Adrián Marín,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]","0,0,0","0.00,0.62,0.32","0.00,0.00,0.00","0,0,0","0,0,0","83,79,253","103,111,355","1,1,2","71,67,204","11,11,47","5,0,11","1.93,0.00,1.16","0.39,0.00,0.00","4,10,19","2,7,6","4,6,6","31,47,87","6,14,22","7,7,23","0,0,4","2,4,8","421,300,1238","4,11,25","2,3,8","16,32,69"
Hernâni Fortes,"['0.96', '0.28', None]","['0.00', '0.00', None]","['0.96', '0.28', None]","['0.96', '0.28', None]","0,1,2","5.70,4.79,3.03","1.90,0.96,1.24","[None, None, '0']","0,0,0","[None, None, '91']","[None, None, '171']","[None, None, '2']","[None, None, '68']","[None, None, '21']","[None, None, '22']","[None, None, '3.03']","[None, None, '0.00']","[None, None, '4']","0,2,3","[None, None, '3']","[None, None, '70']","[None, None, '14']","[None, None, '12']","[None, None, '0']","[None, None, '11']","[None, None, '1917']","6,2,5","[None, None, '1']","[None, None, '47']"
Aritz Castro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coke,"0.20,0.09,0.00","0.00,0.00,0.00","0.20,0.09,0.00","0.20,0.09,0.00","4,1,0","0.64,0.73,0.00","0.35,0.18,0.00","0,0,0","0,0,0","700,463,1","925,577,1","6,6,0","574,353,1","120,104,0","27,17,0","1.34,1.55,0.00","0.25,0.00,0.00","37,25,0","17,15,0","51,26,0","189,120,0","58,37,0","30,16,0","8,3,0","19,15,0","3993,2250,1","26,17,0","24,17,0","179,110,0"
Pepe Blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burgui,"['0.10', '0.00', None]","['0.10', '0.00', None]","['0.10', '0.00', None]","['0.00', '0.00', None]","1,1,0","1.30,0.89,0.00","0.32,0.30,0.00","['0', None, '0']","0,1,0","['167', None, '4']","['212', None, '7']","['3', None, '0']","['128', None, '3']","['36', None, '1']","['24', None, '0']","['3.89', None, '0.00']","['0.32', None, '0.00']","['7', None, '0']","5,4,0","['4', None, '0']","['101', None, '5']","['25', None, '2']","['5', None, '0']","['1', None, '0']","['7', None, '0']","['1204', None, '25']","10,9,0","['3', None, '0']","['44', None, '3']"
Jorge Miramón,"0.04,0.00,0.00","0.00,0.11,0.33","0.04,0.11,0.33","0.04,0.00,0.00","1,0,0","0.51,0.33,1.33","0.14,0.07,0.00","0,0,0","0,0,0","993,994,123","1357,1263,167","8,17,1","763,797,101","222,180,21","48,36,6","1.73,1.33,1.99","0.04,0.19,0.33","70,63,7","44,32,4","67,49,10","384,303,33","124,90,12","55,65,9","10,9,0","38,22,2","6604,4940,566","26,18,4","23,22,6","328,251,31"
Martin Agirregabiria,"0.00,0.04,0.00","0.00,0.04,0.00","0.00,0.09,0.00","0.00,0.04,0.00","0,1,0","0.09,0.13,0.00","0.00,0.04,0.00","0,0,0","0,0,0","673,722,2","968,1014,2","5,9,0","565,605,2","103,108,0","21,23,0","0.93,0.99,0.00","0.04,0.13,0.00","46,50,0","28,22,0","52,50,0","222,248,1","52,60,1","40,39,0","8,8,0","28,14,0","3695,3313,0","24,32,0","19,23,0","208,207,0"
Nikola Vukčević,"0.00,0.00,0.00","0.00,0.11,0.00","0.00,0.11,0.00","0.00,0.00,0.00","0,0,0","0.00,0.23,0.72","0.00,0.06,0.00","0,0,0","0,0,0","206,576,90","251,655,108","4,6,1","166,419,72","36,151,17","5,11,2","0.67,0.63,0.72","0.13,0.17,0.00","25,39,5","19,24,1","22,38,5","187,290,42","52,66,11","22,25,3","4,6,2","1,5,0","1164,2606,336","21,43,6","8,19,8","69,136,23"
Gonzalo Melero,"0.13,0.15,0.36","0.07,0.07,0.00","0.13,0.15,0.36","0.07,0.07,0.36","2,2,1","1.34,1.24,1.08","0.40,0.51,0.36","0,0,0","1,1,0","623,458,120","714,548,127","7,11,2","511,389,103","105,58,15","40,19,7","2.68,1.38,2.52","0.27,0.07,0.00","24,28,3","22,16,3","49,23,5","366,256,39","86,69,11","18,18,5","6,3,0","15,12,4","3519,2236,528","32,32,5","19,23,0","132,126,14"
Rúben Vezo,"0.13,0.00,0.00","0.07,0.00,0.00","0.20,0.00,0.00","0.13,0.00,0.00","2,0,0","0.40,0.38,0.00","0.20,0.07,0.00","0,0,0","0,0,0","411,954,97","525,1164,127","2,9,0","249,581,61","160,364,36","6,18,3","0.40,0.62,1.00","0.07,0.14,0.33","26,51,5","15,26,2","27,38,1","106,194,17","37,64,2","35,51,7","18,31,1","4,4,1","2356,4733,657","15,29,2","29,87,3","121,274,25"
Carlos Clerc,"0.00,0.00,0.00","0.05,0.10,0.00","0.05,0.10,0.00","0.00,0.00,0.00","0,0,0","[None, '0.19', '0.33']","[None, '0.10', '0.33']","[None, '0', '0']","0,0,0","[None, '709', '125']","[None, '968', '157']","[None, '7', '1']","[None, '610', '108']","[None, '92', '16']","[None, '22', '4']","[None, '1.07', '1.33']","[None, '0.10', '0.00']","[None, '37', '7']","[None, '19', '6']","[None, '25', '6']","[None, '256', '37']","[None, '75', '14']","[None, '48', '6']","[None, '10', '0']","[None, '25', '4']","[None, '4371', '605']","[None, '24', '4']","[None, '27', '2']","[None, '173', '28']"
Aitor Fernández,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00",,,,,,"272,751,88","455,1118,128","1,10,6","93,349,56","178,392,26","2,4,0","0.12,0.11,0.00","0.00,0.00,0.00","0,0,0","0,0,0","0,0,0","2,7,2","0,3,1","1,0,0","0,0,0","0,0,0","1071,2266,255","0,1,0","0,0,0","91,193,20"
Sergi García,0.00,0.00,0.00,0.00,,,,,,5,8,0,4,1,0,0.00,0.00,1,1,1,3,1,0,0,0,49,0,0,1
José Luis Morales,"0.34,0.14,0.85","0.14,0.07,0.28","0.39,0.21,1.13","0.25,0.14,0.85","12,4,3","1.72,1.39,2.83","0.76,0.50,1.13","1,0,0","3,0,0","548,472,49","808,700,79","13,12,0","460,384,41","75,76,8","114,66,9","3.21,2.36,2.55","0.54,0.21,0.85","19,15,0","8,7,0","56,32,3","625,354,61","128,78,13","34,25,3","2,1,0","81,51,5","8881,6251,812","31,17,2","9,16,3","195,134,15"
Enis Bardhi,"0.10,0.30,0.00","0.13,0.09,0.00","0.22,0.38,0.00","0.10,0.30,0.00","3,7,0","2.00,2.38,2.71","0.57,0.77,2.11","18,11,0","0,0,0","894,625,93","1211,853,136","27,28,1","690,494,78","177,103,14","69,66,8","2.19,2.81,2.41","0.25,0.38,0.00","65,34,5","45,27,3","84,34,7","732,405,71","175,93,18","44,25,7","3,4,0","47,38,6","6975,4684,747","61,46,10","4,3,0","272,156,30"
Manu García,"0.08,0.00,0.00","0.04,0.00,0.00","0.12,0.00,0.00","0.08,0.00,0.00","2,0,0","1.08,0.92,0.00","0.19,0.32,0.00","0,0,0","0,0,0","718,521,17","951,710,22","26,11,0","550,403,13","142,107,4","27,9,0","1.04,0.41,0.00","0.04,0.00,0.00","86,51,1","45,38,1","89,71,2","590,477,5","130,147,3","38,33,1","4,10,1","13,10,0","2818,2144,83","62,60,0","73,59,1","311,241,5"
Javi López,"0.00,0.00","0.00,0.00","0.00,0.00","0.00,0.00",,,,,,"18,7","30,11","0,0","14,2","4,5","0,1","0.00,1.84","0.00,0.00","5,1","3,1","2,0","18,17","9,4","1,1","1,0","0,0","107,134","1,3","1,0","6,3"
