name,goals_per90,assists_per90,goals_assists_pens_per90,goals_pens_per90,goals,shots_total_per90,shots_on_target_per90,shots_free_kicks,pens_made,passes_completed,passes,passes_completed_short,passes_completed_medium,passes_completed_long,sca,sca_per90,gca_per90,tackles,tackles_won,dribbles_vs,pressures,pressure_regains,blocks,blocked_shots,dribbles_completed,carry_distance,fouls,aerials_won,ball_recoveries
Alejandro Baena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Niño,0.00,0.00,0.00,0.00,0,90.00,90.00,0,0,1,1,1,0,0,0,0.00,0.00,0,0,0,0,0,1,1,0,3,0,0,0
Quini,0.00,0.00,0.00,0.00,1,1.25,0.00,,0,,,,,,,,,,12,,,,,,,,8,,
Dani Raba,0.27,0.07,0.27,0.20,0,0.94,0.00,0,0,71,96,2,53,16,6,2.83,0.47,5,1,7,31,6,2,0,0,437,5,1,17
Aarón Escandell,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
João Paulo Santos Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javier Ontiveros,0.00,0.00,0.00,0.00,2,4.29,1.07,0,0,30,39,1,24,5,4,4.29,0.00,2,1,3,21,2,1,0,4,268,3,0,7
Igor Zubeldia,0.00,0.03,0.03,0.00,0,0.48,0.03,0,0,1467,1670,13,1047,407,12,0.41,0.03,57,37,30,371,108,58,25,23,8333,51,56,319
Antonio Cortés,4.50,0.00,4.50,4.50,1,1.49,0.99,,0,,,,,,,,,,3,,,,,,,,6,,
Luis Javier Suárez,0.53,0.11,0.56,0.45,19,0.00,0.00,,3,,,,,,,,,,1,,,,,,,,0,,
Yan Brice Eteki,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,3,3,0,3,0,0,0.00,0.00,0,0,1,12,1,0,0,0,6,1,0,1
Roberto López,0.00,3.75,3.75,0.00,0,0.00,0.00,0,0,24,33,0,20,4,3,11.25,7.50,0,0,0,6,1,1,0,2,142,0,3,5
Iñigo Martínez,0.03,0.03,0.06,0.03,1,0.82,0.12,4,0,1190,1500,4,706,480,23,0.70,0.09,55,31,38,249,90,43,16,8,7325,30,101,351
Martín Zubimendi,0.00,0.00,0.00,0.00,0,0.61,0.00,0,0,365,420,10,278,77,10,1.57,0.00,18,13,16,140,44,8,0,3,2099,9,18,89
Ander Guevara,0.00,0.00,0.00,0.00,0,0.29,0.00,0,0,585,680,4,469,112,16,1.53,0.00,30,18,24,216,62,13,1,10,3003,27,14,142
Ander Barrenetxea,0.00,0.00,0.00,0.00,0,3.05,1.02,0,0,139,191,3,116,20,19,3.87,0.00,11,6,9,128,39,5,0,22,1884,14,7,32
Adnan Januzaj,0.23,0.23,0.46,0.23,3,1.93,0.62,4,0,323,496,3,243,77,54,4.16,0.46,9,4,19,174,43,10,0,34,3902,25,7,59
Diego Llorente,0.00,0.00,0.00,0.00,1,0.39,0.15,0,0,1410,1598,8,926,476,14,0.54,0.08,32,21,29,205,76,30,9,6,8382,21,63,301
Aihen Muñoz,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,508,656,8,428,72,8,0.73,0.09,24,9,24,134,55,19,2,6,2061,7,17,89
Nacho Monreal,0.08,0.00,0.08,0.08,2,0.60,0.19,0,0,1136,1381,16,993,127,28,1.05,0.04,40,24,53,304,81,58,6,10,4047,35,61,196
Andoni Gorosabel,0.00,0.00,0.00,0.00,0,0.13,0.13,0,0,343,446,5,288,50,13,1.64,0.00,18,9,24,109,36,14,0,5,1502,10,11,74
Mikel Oyarzabal,0.29,0.32,0.50,0.18,10,1.68,0.53,0,4,828,1154,31,658,139,87,2.57,0.47,35,21,47,434,131,54,5,61,7315,32,45,224
Robin Le Normand,0.04,0.00,0.04,0.04,1,0.45,0.08,0,0,1516,1695,11,1074,431,10,0.38,0.04,46,27,36,189,83,22,7,0,8086,28,91,272
